"title","make","model","body_style","year","vin","vehicle_id","price","image[0].url","url","mileage.value","mileage.unit","state_of_vehicle","fb_page_id","description","address.addr1","address.city","address.region","address.country"
"2013 Audi A5 Cabriolet Cabriolet Auto quattro 2.0T Premium"," Audi ","A5 Cabriolet","NONE","2013","WAUCFAFH8DN016385","N016385N","17,444 USD",,"https://www.sportcars.miami//used/Audi/2013-Audi-A5+Cabriolet-ccab05040a0e0a9118f70de26abe1854.htm","76733","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2018 Audi A5 Sportback 2.0 TFSI Premium Plus Hatchback"," Audi ","A5 Sportback","NONE","2018","WAUBNCF57JA059330","A059330","27,495 USD",,"https://www.sportcars.miami//used/Audi/2018-Audi-A5+Sportback-37a9a0d30a0e087f342c879289bc4174.htm","59090","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2013 Audi A6 quattro 2.0T Premium Sedan"," Audi ","A6","NONE","2013","WAUFFAFC8DN057326","T-057326","11,944 USD",,"https://www.sportcars.miami//used/Audi/2013-Audi-A6-ccab014d0a0e0a9118f70de287f4d29c.htm","123500","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2016 Audi A6 quattro 2.0T Premium Plus Sedan"," Audi ","A6","NONE","2016","WAUGFAFC3GN112239","112239W","17,444 USD",,"https://www.sportcars.miami//used/Audi/2016-Audi-A6-ccaafdd20a0e0a9118f70de2e23c113e.htm","122106","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2014 Audi A7 quattro 3.0 Prestige Hatchback"," Audi ","A7","NONE","2014","WAU2GAFC2EN086950","N086950","23,795 USD",,"https://www.sportcars.miami//used/Audi/2014-Audi-A7-37a9906d0a0e0a943e3f39a7d83c0aff.htm","80453","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2012 Audi A7 quattro 3.0 Prestige Hatchback"," Audi ","A7","NONE","2012","WAU3GAFC7CN096830","096830","19,944 USD",,"https://www.sportcars.miami//used/Audi/2012-Audi-A7-ccab073c0a0e0a9118f70de20e94d5d5.htm","86235","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2012 Audi A7 quattro 3.0 Prestige Hatchback"," Audi ","A7","NONE","2012","WAU2GAFC5CN094702","N094702","21,944 USD",,"https://www.sportcars.miami//used/Audi/2012-Audi-A7-ccab0bd20a0e0a9118f70de2e2362777.htm","81788","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2017 Audi Q3 2.0 TFSI Premium FWD SUV"," Audi ","Q3","NONE","2017","WA1BCCFS0HR004609","R004609","21,944 USD",,"https://www.sportcars.miami//used/Audi/2017-Audi-Q3-37a980f30a0e0a927f2167990bef7b87.htm","70319","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 Audi Q3 FrontTrak 2.0T Premium Plus SUV"," Audi ","Q3","NONE","2015","WA1BFCFS2FR008889","R008889","14,999 USD",,"https://www.sportcars.miami//used/Audi/2015-Audi-Q3-a16a56830a0e0a9207489da9de6f5b2b.htm","97247","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2018 Audi Q5 2.0 TFSI Premium SUV"," Audi ","Q5","NONE","2018","WA1ANAFY5J2034332","34332","25,495 USD",,"https://www.sportcars.miami//used/Audi/2018-Audi-Q5-68d751e80a0e0a99692c6843276dd6b6.htm","33112","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 Audi Q5 quattro 2.0T Premium Plus SUV"," Audi ","Q5","NONE","2015","WA1LFAFP7FA072073","A072073","17,999 USD",,"https://www.sportcars.miami//used/Audi/2015-Audi-Q5-a16a590b0a0e0a9207489da99e1272c9.htm","73896","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2014 Audi Q5 quattro 3.0L TDI Premium Plus"," Audi ","Q5","NONE","2014","WA1CMAFP3EA037969","A037969","18,944 USD",,"https://www.sportcars.miami//used/Audi/2014-Audi-Q5-ccab10780a0e0a9118f70de278002cdf.htm","91556","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2017 Audi Q7 quattro 3.0T Premium Plus SUV"," Audi ","Q7","NONE","2017","WA1LAAF70HD013009","D013009N","29,999 USD",,"https://www.sportcars.miami//used/Audi/2017-Audi-Q7-37a964b50a0e0a937adff181a5fc8068.htm","70537","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2012 Audi Q7 quattro 3.0T Premium Plus SUV"," Audi ","Q7","NONE","2012","WA1LGAFE4CD002553","D002553","14,495 USD",,"https://www.sportcars.miami//used/Audi/2012-Audi-Q7-37a8c2ea0a0e087f342c87920d9c7a2d.htm","98946","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2014 Audi Q7 quattro 3.0T S line Prestige SUV"," Audi ","Q7","NONE","2014","WA1DGAFE7ED012646","D012646","19,495 USD",,"https://www.sportcars.miami//used/Audi/2014-Audi-Q7-37a912260a0e0a9175a167fb91c286c3.htm","99238","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2010 Audi S5 Cabriolet Cabriolet Premium Plus Convertible"," Audi ","S5 Cabriolet","NONE","2010","WAUCGAFH9AN011477","N011477","13,995 USD",,"https://www.sportcars.miami//used/Audi/2010-Audi-S5+Cabriolet-37a8a3b60a0e0a937adff181bbe825e0.htm","95049","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2018 Audi S5 Sportback 3.0T Prestige Hatchback"," Audi ","S5 Sportback","NONE","2018","WAUC4CF53JA023089","A023089","27,495 USD",,"https://www.sportcars.miami//used/Audi/2018-Audi-S5+Sportback-37a9a1ef0a0e087f342c8792e9be74cb.htm","128743","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 BMW 2 Series 228i Convertible"," BMW ","2 Series","NONE","2015","WBA1K5C55FV474179","474179","19,495 USD",,"https://www.sportcars.miami//used/BMW/2015-BMW-2+Series-37a881de0a0e0a937adff181e1041920.htm","39207","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2017 BMW 3 Series 320i Sedan"," BMW ","3 Series","NONE","2017","WBA8E1G58HNU14828","U14828","14,495 USD",,"https://www.sportcars.miami//used/BMW/2017-BMW-3+Series-37a9859f0a0e0a943e3f39a74f641a93.htm","88198","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2016 BMW 3 Series 328i Sedan"," BMW ","3 Series","NONE","2016","WBA8E9C5XGK644584","644584","16,999 USD",,"https://www.sportcars.miami//used/BMW/2016-BMW-3+Series-37a954990a0e0a937adff1817e272d55.htm","84913","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2016 BMW 3 Series 328i"," BMW ","3 Series","NONE","2016","WBA8E9G51GNT47678","T47678","21,999 USD",,"https://www.sportcars.miami//used/BMW/2016-BMW-3+Series-ccab14c50a0e0a9118f70de2f97db6c0.htm","51831","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2014 BMW 3 Series 328i Sedan"," BMW ","3 Series","NONE","2014","WBA3A5C52EJ464789","464789","12,494 USD",,"https://www.sportcars.miami//used/BMW/2014-BMW-3+Series-37a8e7b80a0e0a927f2167993322ba5f.htm","104278","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2013 BMW 3 Series 328i Convertible"," BMW ","3 Series","NONE","2013","WBADW3C50DJ526862","526862","13,495 USD",,"https://www.sportcars.miami//used/BMW/2013-BMW-3+Series-37a8e6660a0e0a927f216799ddb3e295.htm","82844","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2011 BMW 3 Series 328i Sedan"," BMW ","3 Series","NONE","2011","WBAPH7C55BE851415","851415","8,999 USD",,"https://www.sportcars.miami//used/BMW/2011-BMW-3+Series-37a8ad680a0e0a9934b05cedb152c590.htm","85197","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2018 BMW 3 Series 330i xDrive"," BMW ","3 Series","NONE","2018","WBA8D9C53JA614911","614911N","24,994 USD",,"https://www.sportcars.miami//used/BMW/2018-BMW-3+Series-ccab09120a0e0a9118f70de285611b78.htm","91795","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2011 BMW 3 Series 335i xDrive"," BMW ","3 Series","NONE","2011","WBAKF9C55BE619196","619196W","16,495 USD",,"https://www.sportcars.miami//used/BMW/2011-BMW-3+Series-932e9a080a0e081d44288e64a20b1ea2.htm","72254","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"1998 BMW 3 Series M Roadster"," BMW ","3 Series","NONE","1998","WBSCK9335WLC86691","C86691","18,200 USD",,"https://www.sportcars.miami//used/BMW/1998-BMW-3+Series-37a8886e0a0e0a937adff181f4ab6540.htm","91398","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 BMW 4 Series 428i Convertible"," BMW ","4 Series","NONE","2015","WBA3V7C50FP772574","772574","16,995 USD",,"https://www.sportcars.miami//used/BMW/2015-BMW-4+Series-37a91d1b0a0e0a905d26eaafae1385b4.htm","87000","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 BMW 4 Series 428i Coupe"," BMW ","4 Series","NONE","2015","WBA3N3C53FK232402","232402","16,995 USD",,"https://www.sportcars.miami//used/BMW/2015-BMW-4+Series-37a91db10a0e0a905d26eaafcbfbee6b.htm","77077","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 BMW 4 Series 428i Convertible"," BMW ","4 Series","NONE","2015","WBA3V5C57FP752830","752830","23,999 USD",,"https://www.sportcars.miami//used/BMW/2015-BMW-4+Series-37a97bd80a0e081d0ba1841f90023803.htm","77878","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 BMW 4 Series 428i Gran Coupe"," BMW ","4 Series","NONE","2015","WBA4A5C51FGK15631","K15631","16,995 USD",,"https://www.sportcars.miami//used/BMW/2015-BMW-4+Series-37a8726a0a0e0a937adff1818a7936d0.htm","88230","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
"2015 BMW 4 Series 428i Gran Coupe"," BMW ","4 Series","NONE","2015","WBA4A5C52FG051533","G051533-T","12,495 USD",,"https://www.sportcars.miami//used/BMW/2015-BMW-4+Series-37a932f20a0e0a9175a167fbb9d34cd8.htm","130171","MI","USED","321137121850648","Sport Cars Miami is a one of a kind first class pre-owned vehicles dealership. Our extensive partnership network and our flexible financing options allow us to offer the widest selection of both off-lease and new car trades at exceptional values. Looking for a high quality vehicle? You've come to the right place. To learn more about our dealership and how we can help with your next vehicle purchase, please call us at 833-617-5627 or stop by in person. We look forward to meeting you.","1300 N State Road 7, FL 33021","Hollywood","Florida","United States"
